match_id,team_id,scored,conceded,xgoals,passes,accuracy,shots,ontarget,offtarget,possession,tackleswon,corners,offsides,fouls,win,homeaway,rolling_avg_goals,prev_xgoals,prev_possession,prev_shots,prev_ontarget,prev_accuracy,cumulative_points,points_rank,goal_difference,win_streak,matchday,home_team_id,away_team_id,home_score,away_score,season_name,team_name,xg_performance,rolling_xg_performance,home_form_wins,home_form_goals,away_form_wins,away_form_goals,shot_conversion,rolling_shot_conversion,opponent_id,h2h_points,elo_before,opponent_elo_before
33,71,2,1,1.56,471,0.82,14,4,10,0.49,119,4,2,12,True,Home,0.8,1.45,0.52,14.0,5.0,0.77,7,4,1,2,5,71,66,2,1,2020-2021,Wolfsburg,0.43999999999999995,-0.5700000000000001,0.0,0.0,,,0.14285714285714285,0.049107142857142856,66,0,1502.0334636783057,1497.7659489437324
34,62,1,1,1.23,414,0.86,15,5,10,0.49,87,4,4,20,False,Away,1.6666666666666667,1.23,0.5,12.0,4.0,0.79,4,9,0,0,5,59,62,1,1,2020-2021,Hoffenheim,-0.22999999999999998,-0.06499999999999995,,,1.0,2.0,0.06666666666666667,0.15705128205128205,59,0,1500.0662003780633,1521.0840285005768
34,59,1,1,0.23,420,0.85,5,2,3,0.51,93,1,3,10,False,Home,1.5,0.49,0.4,7.0,2.0,0.76,7,4,0,0,5,59,62,1,1,2020-2021,Werder Bremen,0.77,0.29000000000000004,1.0,1.0,,,0.2,0.12605042016806722,62,0,1521.0840285005768,1500.0662003780633
35,64,1,3,0.38,361,0.75,7,3,4,0.37,106,3,3,8,False,Away,1.2,0.57,0.37,6.0,2.0,0.72,7,4,0,0,5,72,64,3,1,2020-2021,Augsburg,0.62,0.3925,,,1.0,1.5,0.14285714285714285,0.16666666666666666,72,0,1517.7042250915792,1517.7659489437324
35,72,3,1,3.13,710,0.87,15,7,8,0.63,80,3,2,14,True,Home,1.25,0.52,0.59,9.0,4.0,0.87,8,2,3,3,5,72,64,3,1,2020-2021,Bayer Leverkusen,-0.1299999999999999,-0.2266666666666667,,,,,0.2,0.059259259259259255,64,0,1517.7659489437324,1517.7042250915792
36,67,2,0,2.93,796,0.87,21,10,11,0.68,90,12,4,13,True,Away,2.25,2.24,0.63,16.0,7.0,0.9,9,3,7,3,6,66,67,0,2,2020-2021,Borussia Dortmund,-0.9300000000000002,0.47666666666666657,,,0.0,0.0,0.09523809523809523,0.19444444444444442,66,0,1521.0840285005768,1478.011594485682
36,66,0,2,0.42,267,0.71,5,2,3,0.32,101,0,2,12,False,Home,0.6,0.31,0.51,8.0,1.0,0.8,4,9,-3,0,6,66,67,0,2,2020-2021,Arminia Bielefeld,-0.42,0.0675,1.0,1.0,,,0.0,0.08482142857142858,67,0,1478.011594485682,1521.0840285005768
37,70,1,3,0.9,496,0.82,8,4,4,0.5,92,1,3,10,False,Away,0.6666666666666666,0.39,0.41,5.0,0.0,0.79,0,14,-5,0,6,64,70,3,1,2020-2021,Mainz,0.09999999999999998,-0.21500000000000002,,,0.0,1.0,0.125,0.0625,64,0,1461.0840285005768,1497.707778202088
37,64,3,1,2.21,486,0.83,14,7,7,0.5,86,4,2,12,True,Home,1.2,0.38,0.37,7.0,3.0,0.75,10,2,2,2,6,64,70,3,1,2020-2021,Augsburg,0.79,0.438,1.0,1.0,,,0.21428571428571427,0.1619047619047619,70,0,1497.707778202088,1461.0840285005768
38,55,2,1,1.22,633,0.88,7,5,2,0.63,108,1,1,13,True,Away,5.0,2.6,0.63,20.0,10.0,0.88,9,3,14,3,6,61,55,1,2,2020-2021,Bayern Munich,0.78,3.0250000000000004,,,,,0.2857142857142857,0.3068181818181818,61,0,1540.9526618710886,1467.7650736759376
